id,title,url,province,ISO8601,organization,people
2809837,"""พัชรวาท"" กำชับทุกหน่วยเร่งช่วยประชาชน   ประสบภัยน้ำท่วม ""จ.แพร่-น่าน""",https://www.thairath.co.th/news/politic/2809837,น่าน | แพร่,2024-08-22,าการกระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อมทส.กรมอุทยานแห่งชาติ  สัตว์ป่า และพันธุ์พืชกรมป่าไม้,""" พัชร วาท | "" พัชร วาท | พล . ต . อ .พัชรวาท วงษ์สุวรรณ | นาย อรรถพล เจริญชันษา"
2809837,"""พัชรวาท"" กำชับทุกหน่วยเร่งช่วยประชาชน   ประสบภัยน้ำท่วม ""จ.แพร่-น่าน""",https://www.thairath.co.th/news/politic/2809837,น่าน | แพร่,2024-08-22,อุทยานแห่งชาติฯกรมทรัพยากรน้ําและกรมทรัพยากรน้ําบาดาล,""" พัชร วาท | "" พัชร วาท | พล . ต . อ .พัชรวาท วงษ์สุวรรณ | นาย อรรถพล เจริญชันษา"
2809890,"ปลัด มท.สั่ง ""พิษณุโลก"" เตรียมพร้อมรับมือน้ำเหนือ   กำชับ ""อย่าประมาทเด็ดขาด""",https://www.thairath.co.th/news/local/north/2809890,เชียงใหม่ | น่าน | พิษณุโลก | เพชรบูรณ์ | แพร่ | แม่ฮ่องสอน,2024-08-22,มท.พิษณุโลกมท.,นาย สุทธิพงษ์ จุลเจริญ | นายสุธน ศรีหิรัญ | อาจารย์ ขวัญทอง สอนศิริ อ . โจ้ | นายบุญเหลือ บารมี | นายนิสิต สวัสดิเทพ | นาย อธิปไตย ไกรราช | นาง เน าวรัตน์ เอกภาพันธ์ | นาย นพคุณ แถมพยัคฆ์ | นาง ปิ่นเพชร พูลสวัสดิ์ | นาย สุทธิพงษ์ | นายอนุทิน ชาญวีรกูล
2809890,"ปลัด มท.สั่ง ""พิษณุโลก"" เตรียมพร้อมรับมือน้ำเหนือ   กำชับ ""อย่าประมาทเด็ดขาด""",https://www.thairath.co.th/news/local/north/2809890,เชียงใหม่ | น่าน | พิษณุโลก | เพชรบูรณ์ | แพร่ | แม่ฮ่องสอน,2024-08-22,รวงมหาดไทย,นาย สุทธิพงษ์ จุลเจริญ | นายสุธน ศรีหิรัญ | อาจารย์ ขวัญทอง สอนศิริ อ . โจ้ | นายบุญเหลือ บารมี | นายนิสิต สวัสดิเทพ | นาย อธิปไตย ไกรราช | นาง เน าวรัตน์ เอกภาพันธ์ | นาย นพคุณ แถมพยัคฆ์ | นาง ปิ่นเพชร พูลสวัสดิ์ | นาย สุทธิพงษ์ | นายอนุทิน ชาญวีรกูล
2809890,"ปลัด มท.สั่ง ""พิษณุโลก"" เตรียมพร้อมรับมือน้ำเหนือ   กำชับ ""อย่าประมาทเด็ดขาด""",https://www.thairath.co.th/news/local/north/2809890,เชียงใหม่ | น่าน | พิษณุโลก | เพชรบูรณ์ | แพร่ | แม่ฮ่องสอน,2024-08-22,รวงมหาดไทย,นาย สุทธิพงษ์ จุลเจริญ | นายสุธน ศรีหิรัญ | อาจารย์ ขวัญทอง สอนศิริ อ . โจ้ | นายบุญเหลือ บารมี | นายนิสิต สวัสดิเทพ | นาย อธิปไตย ไกรราช | นาง เน าวรัตน์ เอกภาพันธ์ | นาย นพคุณ แถมพยัคฆ์ | นาง ปิ่นเพชร พูลสวัสดิ์ | นาย สุทธิพงษ์ | นายอนุทิน ชาญวีรกูล
2809890,"ปลัด มท.สั่ง ""พิษณุโลก"" เตรียมพร้อมรับมือน้ำเหนือ   กำชับ ""อย่าประมาทเด็ดขาด""",https://www.thairath.co.th/news/local/north/2809890,เชียงใหม่ | น่าน | พิษณุโลก | เพชรบูรณ์ | แพร่ | แม่ฮ่องสอน,2024-08-22,รวงมหาดไทย,นาย สุทธิพงษ์ จุลเจริญ | นายสุธน ศรีหิรัญ | อาจารย์ ขวัญทอง สอนศิริ อ . โจ้ | นายบุญเหลือ บารมี | นายนิสิต สวัสดิเทพ | นาย อธิปไตย ไกรราช | นาง เน าวรัตน์ เอกภาพันธ์ | นาย นพคุณ แถมพยัคฆ์ | นาง ปิ่นเพชร พูลสวัสดิ์ | นาย สุทธิพงษ์ | นายอนุทิน ชาญวีรกูล
2809890,"ปลัด มท.สั่ง ""พิษณุโลก"" เตรียมพร้อมรับมือน้ำเหนือ   กำชับ ""อย่าประมาทเด็ดขาด""",https://www.thairath.co.th/news/local/north/2809890,เชียงใหม่ | น่าน | พิษณุโลก | เพชรบูรณ์ | แพร่ | แม่ฮ่องสอน,2024-08-22,สํานักงานจังหวัด,นาย สุทธิพงษ์ จุลเจริญ | นายสุธน ศรีหิรัญ | อาจารย์ ขวัญทอง สอนศิริ อ . โจ้ | นายบุญเหลือ บารมี | นายนิสิต สวัสดิเทพ | นาย อธิปไตย ไกรราช | นาง เน าวรัตน์ เอกภาพันธ์ | นาย นพคุณ แถมพยัคฆ์ | นาง ปิ่นเพชร พูลสวัสดิ์ | นาย สุทธิพงษ์ | นายอนุทิน ชาญวีรกูล
2809890,"ปลัด มท.สั่ง ""พิษณุโลก"" เตรียมพร้อมรับมือน้ำเหนือ   กำชับ ""อย่าประมาทเด็ดขาด""",https://www.thairath.co.th/news/local/north/2809890,เชียงใหม่ | น่าน | พิษณุโลก | เพชรบูรณ์ | แพร่ | แม่ฮ่องสอน,2024-08-22,สํานักงานป้องกันและบรรเทาสาธารณภัยจังหวัดพิษณุโลก,นาย สุทธิพงษ์ จุลเจริญ | นายสุธน ศรีหิรัญ | อาจารย์ ขวัญทอง สอนศิริ อ . โจ้ | นายบุญเหลือ บารมี | นายนิสิต สวัสดิเทพ | นาย อธิปไตย ไกรราช | นาง เน าวรัตน์ เอกภาพันธ์ | นาย นพคุณ แถมพยัคฆ์ | นาง ปิ่นเพชร พูลสวัสดิ์ | นาย สุทธิพงษ์ | นายอนุทิน ชาญวีรกูล
2809890,"ปลัด มท.สั่ง ""พิษณุโลก"" เตรียมพร้อมรับมือน้ำเหนือ   กำชับ ""อย่าประมาทเด็ดขาด""",https://www.thairath.co.th/news/local/north/2809890,เชียงใหม่ | น่าน | พิษณุโลก | เพชรบูรณ์ | แพร่ | แม่ฮ่องสอน,2024-08-22,กเทศมนตรี,นาย สุทธิพงษ์ จุลเจริญ | นายสุธน ศรีหิรัญ | อาจารย์ ขวัญทอง สอนศิริ อ . โจ้ | นายบุญเหลือ บารมี | นายนิสิต สวัสดิเทพ | นาย อธิปไตย ไกรราช | นาง เน าวรัตน์ เอกภาพันธ์ | นาย นพคุณ แถมพยัคฆ์ | นาง ปิ่นเพชร พูลสวัสดิ์ | นาย สุทธิพงษ์ | นายอนุทิน ชาญวีรกูล
2809890,"ปลัด มท.สั่ง ""พิษณุโลก"" เตรียมพร้อมรับมือน้ำเหนือ   กำชับ ""อย่าประมาทเด็ดขาด""",https://www.thairath.co.th/news/local/north/2809890,เชียงใหม่ | น่าน | พิษณุโลก | เพชรบูรณ์ | แพร่ | แม่ฮ่องสอน,2024-08-22,รวงมหาดไทยช,นาย สุทธิพงษ์ จุลเจริญ | นายสุธน ศรีหิรัญ | อาจารย์ ขวัญทอง สอนศิริ อ . โจ้ | นายบุญเหลือ บารมี | นายนิสิต สวัสดิเทพ | นาย อธิปไตย ไกรราช | นาง เน าวรัตน์ เอกภาพันธ์ | นาย นพคุณ แถมพยัคฆ์ | นาง ปิ่นเพชร พูลสวัสดิ์ | นาย สุทธิพงษ์ | นายอนุทิน ชาญวีรกูล
